Year,Type,TWh
2003,Hydro Generation,2623.0532
2004,Geothermal,236.05714
2004,Solar Generation,2.9718347
2004,Wind Generation,85.618484
2004,Hydro Generation,2816.6147
2005,Geothermal,255.4333
2005,Solar Generation,4.187687
2005,Wind Generation,104.62774
2005,Hydro Generation,2911.3308
2006,Geothermal,272.0138
2006,Solar Generation,5.762825
2006,Wind Generation,133.5028
2006,Hydro Generation,3022.2476
2007,Geothermal,295.2423
2007,Solar Generation,7.818763
2007,Wind Generation,171.5083
2007,Hydro Generation,3072.5112
2008,Geothermal,315.8789
2008,Solar Generation,12.6981945
2008,Wind Generation,221.41554
2008,Hydro Generation,3251.702
2009,Geothermal,339.2694
2009,Solar Generation,21.073503
2009,Wind Generation,276.79816
2009,Hydro Generation,3246.445
2010,Geothermal,378.83444
2010,Solar Generation,33.912262
2010,Wind Generation,346.40918
2010,Hydro Generation,3430.1318
2011,Geothermal,397.6471
2011,Solar Generation,65.64861
2011,Wind Generation,440.67798
2011,Hydro Generation,3492.674
2012,Geothermal,430.3208
2012,Solar Generation,101.52152
2012,Wind Generation,530.5034
2012,Hydro Generation,3641.8489
2013,Geothermal,464.44162
2013,Solar Generation,138.59294
2013,Wind Generation,635.5076
2013,Hydro Generation,3788.1174
2014,Geothermal,502.8774
2014,Solar Generation,197.2615
2014,Wind Generation,705.8885
2014,Hydro Generation,3889.0215
2015,Geothermal,544.0647
2015,Solar Generation,255.97948
2015,Wind Generation,831.37604
2015,Hydro Generation,3879.4531
2016,Geothermal,552.9557
2016,Solar Generation,328.41495
2016,Wind Generation,962.1343
2016,Hydro Generation,4014.4116
2017,Geothermal,588.78033
2017,Solar Generation,445.47995
2017,Wind Generation,1141.5242
2017,Hydro Generation,4071.2231
2018,Geothermal,636.2133
2018,Solar Generation,575.76025
2018,Wind Generation,1269.5287
2018,Hydro Generation,4189.757
2019,Geothermal,667.61945
2019,Solar Generation,705.22516
2019,Wind Generation,1420.624
2019,Hydro Generation,4243.2876
2020,Geothermal,702.9823
2020,Solar Generation,854.37476
2020,Wind Generation,1593.953
2020,Hydro Generation,4359.012
2021,Geothermal,751.1769
2021,Solar Generation,1059.2937
2021,Wind Generation,1854.1052
2021,Hydro Generation,4288.783
2022,Geothermal,776.85657
2022,Solar Generation,1322.6157
2022,Wind Generation,2104.8396
2022,Hydro Generation,4334.19
